RUN	Protoplast_assay	CRISPResso2_category	Batch	Condition_name	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions	Efficiency	Figure	Figure_bar	Reference	Position_in_Figure	Position_in_Figure_bar
RUN30	pp28	Pp28_AausFP1_gRNA4_rep1	Pp28_TOP23-gRNA4	mock	10224	10127	97	0	0	2	95	0	2	95	0	0	0	0	0.000195618	Fig.3B	Fig.3B	-	2	2
RUN30	pp28	Pp28_AausFP1_gRNA4_rep2	Pp28_TOP23-gRNA4	mock	2522	2491	31	0	0	1	30	0	1	30	0	0	0	0	0.000396511	Fig.3B	Fig.3B	-	2	2
RUN30	pp28	Pp28_AausFP1_gRNA4_rep3	Pp28_TOP23-gRNA4	mock	985	973	12	0	0	1	11	0	1	11	0	0	0	0	0.001015228	Fig.3B	Fig.3B	-	2	2
RUN30	pp28	Pp28_No92_rep1	Pp28_TOP23-gRNA4	original	6639	6533	106	0	0	34	74	0	32	72	0	0	2	0	0.004820003	Fig.3B	Fig.3B	TOP23-gRNA4 (157bp) (RNA:134 nt)	2	2
RUN30	pp28	Pp28_No92_rep2	Pp28_TOP23-gRNA4	original	7398	6998	400	0	0	275	188	0	212	125	0	0	63	0	0.028656394	Fig.3B	Fig.3B	TOP23-gRNA4 (157bp) (RNA:134 nt)	2	2
RUN30	pp28	Pp28_No92_rep3	Pp28_TOP23-gRNA4	original	12488	12106	382	0	15	204	179	0	203	163	0	15	1	0	0.016255605	Fig.3B	Fig.3B	TOP23-gRNA4 (157bp) (RNA:134 nt)	2	2
RUN30	pp28	Pp28_No107_rep1	Pp28_TOP23-gRNA4	SL1-del10	12357	10960	1397	0	77	1222	318	7	1072	123	0	45	125	25	0.087318929	Fig.3B	Fig.3B	TOP23-SL1-d10 (137bp) (RNA:114 nt)	10	10
RUN30	pp28	Pp28_No107_rep2	Pp28_TOP23-gRNA4	SL1-del10	11023	9190	1833	0	66	1655	332	6	1495	112	0	60	160	0	0.136169827	Fig.3B	Fig.3B	TOP23-SL1-d10 (137bp) (RNA:114 nt)	10	10
RUN30	pp28	Pp28_No107_rep3	Pp28_TOP23-gRNA4	SL1-del10	9452	8577	875	0	29	734	176	0	699	112	0	29	35	0	0.073952603	Fig.3B	Fig.3B	TOP23-SL1-d10 (137bp) (RNA:114 nt)	10	10
RUN30	pp28	Pp28_No104_rep1	Pp28_TOP23-gRNA4	SL1-del3	11952	10260	1692	0	35	1463	248	0	1444	194	0	35	19	0	0.1208166	Fig.3B	Fig.3B	TOP23-SL1-d3 (151bp) (RNA:128 nt)	7	7
RUN30	pp28	Pp28_No104_rep2	Pp28_TOP23-gRNA4	SL1-del3	10546	10143	403	0	0	308	95	0	308	95	0	0	0	0	0.029205386	Fig.3B	Fig.3B	TOP23-SL1-d3 (151bp) (RNA:128 nt)	7	7
RUN30	pp28	Pp28_No104_rep3	Pp28_TOP23-gRNA4	SL1-del3	14004	13500	504	0	63	387	325	0	179	117	0	0	145	63	0.012782062	Fig.3B	Fig.3B	TOP23-SL1-d3 (151bp) (RNA:128 nt)	7	7
RUN30	pp28	Pp28_No105_rep1	Pp28_TOP23-gRNA4	SL1-del5	8436	7759	677	0	1	614	67	0	610	62	0	1	4	0	0.072309151	Fig.3B	Fig.3B	TOP23-SL1-d5 (147bp) (RNA:124 nt)	8	8
RUN30	pp28	Pp28_No105_rep2	Pp28_TOP23-gRNA4	SL1-del5	7830	7231	599	0	284	531	355	0	244	68	0	0	3	284	0.031162197	Fig.3B	Fig.3B	TOP23-SL1-d5 (147bp) (RNA:124 nt)	8	8
RUN30	pp28	Pp28_No105_rep3	Pp28_TOP23-gRNA4	SL1-del5	9622	9321	301	0	0	225	76	0	225	76	0	0	0	0	0.023383912	Fig.3B	Fig.3B	TOP23-SL1-d5 (147bp) (RNA:124 nt)	8	8
RUN30	pp28	Pp28_No106_rep1	Pp28_TOP23-gRNA4	SL1-del7	5390	4930	460	0	0	417	43	0	417	43	0	0	0	0	0.077365492	Fig.3B	Fig.3B	TOP23-SL1-d7 (143bp) (RNA:120 nt)	9	9
RUN30	pp28	Pp28_No106_rep2	Pp28_TOP23-gRNA4	SL1-del7	11424	9979	1445	0	0	1349	100	0	1345	96	0	0	4	0	0.117734594	Fig.3B	Fig.3B	TOP23-SL1-d7 (143bp) (RNA:120 nt)	9	9
RUN30	pp28	Pp28_No106_rep3	Pp28_TOP23-gRNA4	SL1-del7	11011	9674	1337	0	0	1238	184	0	1153	99	0	0	85	0	0.104713468	Fig.3B	Fig.3B	TOP23-SL1-d7 (143bp) (RNA:120 nt)	9	9
RUN30	pp28	Pp28_No108_rep1	Pp28_TOP23-gRNA4	SL3-del3	4401	4345	56	0	1	1	55	0	1	54	0	1	0	0	0.000227221	Fig.3B	Fig.3B	TOP23-SL3-d3 (151bp) (RNA:128 nt)	11	11
RUN30	pp28	Pp28_No108_rep2	Pp28_TOP23-gRNA4	SL3-del3	4853	4797	56	0	0	0	56	0	0	56	0	0	0	0	0	Fig.3B	Fig.3B	TOP23-SL3-d3 (151bp) (RNA:128 nt)	11	11
RUN30	pp28	Pp28_No108_rep3	Pp28_TOP23-gRNA4	SL3-del3	7880	7786	94	0	0	1	94	0	0	93	0	0	1	0	0	Fig.3B	Fig.3B	TOP23-SL3-d3 (151bp) (RNA:128 nt)	11	11
RUN30	pp28	Pp28_No109_rep1	Pp28_TOP23-gRNA4	SL3-del6	2684	2668	16	0	0	1	15	0	1	15	0	0	0	0	0.000372578	Fig.3B	Fig.3B	TOP23-SL3-d6 (145bp) (RNA:122 nt)	12	12
RUN30	pp28	Pp28_No109_rep2	Pp28_TOP23-gRNA4	SL3-del6	1799	1786	13	0	0	0	13	0	0	13	0	0	0	0	0	Fig.3B	Fig.3B	TOP23-SL3-d6 (145bp) (RNA:122 nt)	12	12
RUN30	pp28	Pp28_No109_rep3	Pp28_TOP23-gRNA4	SL3-del6	2060	2036	24	0	0	1	23	0	1	23	0	0	0	0	0.000485437	Fig.3B	Fig.3B	TOP23-SL3-d6 (145bp) (RNA:122 nt)	12	12
RUN30	pp28	Pp28_No103_rep1	Pp28_TOP23-gRNA4	TS_18nt	10732	10669	63	0	0	1	62	0	1	62	0	0	0	0	9.31793E-05	Fig.3B	Fig.3B	TOP23-SP18 (145bp) (RNA:122 nt)	6	6
RUN30	pp28	Pp28_No103_rep2	Pp28_TOP23-gRNA4	TS_18nt	11500	11399	101	0	0	1	100	0	1	100	0	0	0	0	8.69565E-05	Fig.3B	Fig.3B	TOP23-SP18 (145bp) (RNA:122 nt)	6	6
RUN30	pp28	Pp28_No103_rep3	Pp28_TOP23-gRNA4	TS_18nt	9635	9542	93	0	0	3	91	0	2	90	0	0	1	0	0.000207577	Fig.3B	Fig.3B	TOP23-SP18 (145bp) (RNA:122 nt)	6	6
RUN30	pp28	Pp28_No102_rep1	Pp28_TOP23-gRNA4	TS_20nt	15248	10931	4317	0	217	3997	852	0	3465	118	0	202	517	15	0.227242917	Fig.3B	Fig.3B	TOP23-SP20 (147bp) (RNA:124 nt)	5	5
RUN30	pp28	Pp28_No102_rep2	Pp28_TOP23-gRNA4	TS_20nt	11607	8395	3212	0	0	3085	330	0	2882	127	0	0	203	0	0.248298441	Fig.3B	Fig.3B	TOP23-SP20 (147bp) (RNA:124 nt)	5	5
RUN30	pp28	Pp28_No102_rep3	Pp28_TOP23-gRNA4	TS_20nt	8841	6879	1962	0	59	1855	702	0	1260	107	0	0	536	59	0.142517815	Fig.3B	Fig.3B	TOP23-SP20 (147bp) (RNA:124 nt)	5	5
RUN30	pp28	Pp28_No101_rep1	Pp28_TOP23-gRNA4	TS_22nt	15771	11553	4218	0	470	3609	919	77	3222	176	0	356	350	37	0.209181409	Fig.3B	Fig.3B	TOP23-SP22 (149bp) (RNA:126 nt)	4	4
RUN30	pp28	Pp28_No101_rep2	Pp28_TOP23-gRNA4	TS_22nt	4268	3046	1222	0	12	1175	104	1	1117	35	0	11	58	0	0.261949391	Fig.3B	Fig.3B	TOP23-SP22 (149bp) (RNA:126 nt)	4	4
RUN30	pp28	Pp28_No101_rep3	Pp28_TOP23-gRNA4	TS_22nt	11359	8870	2489	0	71	2331	579	35	1875	87	0	36	456	0	0.168148605	Fig.3B	Fig.3B	TOP23-SP22 (149bp) (RNA:126 nt)	4	4
RUN30	pp28	Pp28_No100_rep1	Pp28_TOP23-gRNA4	TS_24nt	7115	5927	1188	0	121	1014	217	59	912	53	0	62	102	0	0.136472242	Fig.3B	Fig.3B	TOP23-SP24 (151bp) (RNA:128 nt)	3	3
RUN30	pp28	Pp28_No100_rep2	Pp28_TOP23-gRNA4	TS_24nt	7274	5768	1506	0	92	1379	326	0	1180	73	0	54	161	38	0.162221611	Fig.3B	Fig.3B	TOP23-SP24 (151bp) (RNA:128 nt)	3	3
RUN30	pp28	Pp28_No100_rep3	Pp28_TOP23-gRNA4	TS_24nt	13961	11787	2174	0	120	1941	595	0	1579	132	0	101	343	19	0.113100781	Fig.3B	Fig.3B	TOP23-SP24 (151bp) (RNA:128 nt)	3	3
RUN30	pp27	gRNA2	Pp27_TOP23PDS3large2_rep1	gRNA2	12779	8743	4036	0	3026	813	295	2955	786	197	0	71	27	0	0.292745911	Sup_FigS2	Sup_FigS2	-	3	3
RUN30	pp27	gRNA2	Pp27_TOP23PDS3large2_rep2	gRNA2	13155	9614	3541	0	2634	721	245	2593	703	186	0	41	18	0	0.250551121	Sup_FigS2	Sup_FigS2	-	3	3
RUN30	pp27	gRNA2	Pp27_TOP23PDS3large2_rep3	gRNA2	12370	9610	2760	0	2060	520	219	2029	512	180	0	31	8	0	0.20541633	Sup_FigS2	Sup_FigS2	-	3	3
RUN30	pp27	gRNA4	Pp27_TOP23PDS3large4_rep1	gRNA3	10802	10703	99	0	0	0	99	0	0	99	0	0	0	0	0	Sup_FigS2	Sup_FigS2	-	4	4
RUN30	pp27	gRNA4	Pp27_TOP23PDS3large4_rep2	gRNA3	10865	10780	85	0	0	1	84	0	1	84	0	0	0	0	9.20387E-05	Sup_FigS2	Sup_FigS2	-	4	4
RUN30	pp27	gRNA4	Pp27_TOP23PDS3large4_rep3	gRNA3	9506	9432	74	0	0	0	74	0	0	74	0	0	0	0	0	Sup_FigS2	Sup_FigS2	-	4	4
RUN30	pp27	gRNA5	Pp27_TOP23PDS3large5_rep1	gRNA4	10146	9950	196	0	0	1	195	0	1	195	0	0	0	0	9.8561E-05	Sup_FigS2	Sup_FigS2	-	5	5
RUN30	pp27	gRNA5	Pp27_TOP23PDS3large5_rep2	gRNA4	11023	10848	175	0	0	1	174	0	1	174	0	0	0	0	9.07194E-05	Sup_FigS2	Sup_FigS2	-	5	5
RUN30	pp27	gRNA5	Pp27_TOP23PDS3large5_rep3	gRNA4	9877	9662	215	0	0	0	215	0	0	215	0	0	0	0	0	Sup_FigS2	Sup_FigS2	-	5	5
RUN30	pp27	gRNA2	Pp27_gRNA2_AausFP1_rep1	mock	9744	9590	154	0	0	0	154	0	0	154	0	0	0	0	0	Sup_FigS2	Sup_FigS2	-	1	1
RUN30	pp27	gRNA2	Pp27_gRNA2_AausFP1_rep2	mock	11789	11608	181	0	0	2	180	0	1	179	0	0	1	0	8.48248E-05	Sup_FigS2	Sup_FigS2	-	1	1
RUN30	pp27	gRNA2	Pp27_gRNA2_AausFP1_rep3	mock	11825	11623	202	0	1	1	200	1	1	200	0	0	0	0	0.000169133	Sup_FigS2	Sup_FigS2	-	1	1
RUN30	pp27	Sp	Pp27_SpCas9PDS3_No14_rep1	SpyCas9	13529	11265	2264	0	1023	1039	345	913	1006	202	0	110	33	0	0.141843447	Sup_FigS2	Sup_FigS2	-	2	2
RUN30	pp27	Sp	Pp27_SpCas9PDS3_No14_rep2	SpyCas9	12789	10967	1822	0	759	844	376	660	786	221	0	97	56	2	0.113065916	Sup_FigS2	Sup_FigS2	-	2	2
RUN30	pp27	Sp	Pp27_SpCas9PDS3_No14_rep3	SpyCas9	11599	10149	1450	0	531	751	211	504	735	175	0	20	9	7	0.106819553	Sup_FigS2	Sup_FigS2	-	2	2
RUN31	pp32	TOP23-PDS-gRNA4	5_AausFP1_rep1	mock	6152	6014	138	0	1	0	138	0	0	137	0	1	0	0	0	Fig.3C	Fig.3C	-	1	1
RUN31	pp32	TOP23-PDS-gRNA4	5_AausFP1_rep2	mock	6798	6590	208	0	0	0	208	0	0	208	0	0	0	0	0	Fig.3C	Fig.3C	-	1	1
RUN31	pp32	TOP23-PDS-gRNA4	5_AausFP1_rep3	mock	8184	8015	169	0	1	1	168	0	1	167	0	1	0	0	0.00012219	Fig.3C	Fig.3C	-	1	1
RUN31	pp32	TOP23-PDS-gRNA4	92_rep1	original	835	775	60	0	7	40	24	0	36	13	0	7	4	0	0.043113772	Fig.3C	Fig.3C	-	2	2
RUN31	pp32	TOP23-PDS-gRNA4	92_rep2	original	5131	4505	626	0	0	524	168	0	458	102	0	0	66	0	0.089261353	Fig.3C	Fig.3C	-	2	2
RUN31	pp32	TOP23-PDS-gRNA4	92_rep3	original	7524	6961	563	0	12	382	207	0	356	169	0	12	26	0	0.047315258	Fig.3C	Fig.3C	-	2	2
RUN31	pp32	TOP23-PDS-gRNA4	101_rep1	TS_22nt	4780	3951	829	0	0	756	81	0	748	73	0	0	8	0	0.156485356	Fig.3C	Fig.3C	-	3	3
RUN31	pp32	TOP23-PDS-gRNA4	101_rep2	TS_22nt	5810	4646	1164	0	2	1035	284	1	878	128	1	0	156	0	0.151290878	Fig.3C	Fig.3C	-	3	3
RUN31	pp32	TOP23-PDS-gRNA4	101_rep3	TS_22nt	5414	4266	1148	0	1	1054	235	1	912	93	0	0	142	0	0.168636867	Fig.3C	Fig.3C	-	3	3
RUN31	pp32	TOP23-PDS-gRNA4	102_rep1	TS_20nt	9997	8164	1833	0	0	1668	462	0	1371	165	0	0	297	0	0.137141142	Fig.3C	Fig.3C	-	4	4
RUN31	pp32	TOP23-PDS-gRNA4	102_rep2	TS_20nt	4966	3897	1069	0	52	959	175	22	872	59	0	29	86	1	0.180024164	Fig.3C	Fig.3C	-	4	4
RUN31	pp32	TOP23-PDS-gRNA4	102_rep3	TS_20nt	5915	4286	1629	0	23	1503	260	0	1369	104	0	22	133	1	0.231445478	Fig.3C	Fig.3C	-	4	4
RUN31	pp32	TOP23-PDS-gRNA4	107_rep1	SL1-del10	5823	5083	740	0	12	647	146	0	594	81	0	12	53	0	0.102009274	Fig.3C	Fig.3C	-	5	5
RUN31	pp32	TOP23-PDS-gRNA4	107_rep2	SL1-del10	9078	8064	1014	0	33	839	228	2	784	142	0	31	55	0	0.086582948	Fig.3C	Fig.3C	-	5	5
RUN31	pp32	TOP23-PDS-gRNA4	107_rep3	SL1-del10	10732	9518	1214	0	17	1004	327	14	873	193	0	3	131	0	0.082650019	Fig.3C	Fig.3C	-	5	5
RUN31	pp32	TOP23-PDS-gRNA4	106_rep1	SL1-del7	8112	7439	673	0	0	513	166	0	507	160	0	0	6	0	0.0625	Fig.3C	Fig.3C	-	6	6
RUN31	pp32	TOP23-PDS-gRNA4	106_rep2	SL1-del7	6492	5747	745	0	3	668	133	1	611	74	0	2	57	0	0.094269871	Fig.3C	Fig.3C	-	6	6
RUN31	pp32	TOP23-PDS-gRNA4	106_rep3	SL1-del7	5573	5012	561	0	3	450	165	0	396	111	0	0	51	3	0.071056881	Fig.3C	Fig.3C	-	6	6
RUN31	pp32	TOP23-PDS-gRNA4	110_rep1	TS_22nt-SL1-del7	8352	6228	2124	0	13	1989	421	0	1703	122	0	13	286	0	0.203903257	Fig.3C	Fig.3C	-	7	7
RUN31	pp32	TOP23-PDS-gRNA4	110_rep2	TS_22nt-SL1-del7	6031	4815	1216	0	0	1127	163	0	1053	89	0	0	74	0	0.174597911	Fig.3C	Fig.3C	-	7	7
RUN31	pp32	TOP23-PDS-gRNA4	110_rep3	TS_22nt-SL1-del7	8208	6478	1730	0	24	1556	284	0	1446	162	0	12	98	12	0.176169591	Fig.3C	Fig.3C	-	7	7
RUN31	pp32	TOP23-PDS-gRNA4	111_rep1	TS_22nt-SL1-del10	6849	5381	1468	0	84	1335	358	0	1110	103	0	30	171	54	0.162067455	Fig.3C	Fig.3C	-	8	8
RUN31	pp32	TOP23-PDS-gRNA4	111_rep2	TS_22nt-SL1-del10	5703	4200	1503	0	34	1373	263	0	1240	115	0	15	114	19	0.217429423	Fig.3C	Fig.3C	-	8	8
RUN31	pp32	TOP23-PDS-gRNA4	111_rep3	TS_22nt-SL1-del10	7458	5741	1717	0	32	1565	407	0	1310	130	0	22	245	10	0.175650308	Fig.3C	Fig.3C	-	8	8
RUN31	pp32	TOP23-PDS-gRNA4	112_rep1	TS_20nt-SL1-del7	6589	5449	1140	0	41	1013	214	0	926	96	0	31	77	10	0.140537259	Fig.3C	Fig.3C	-	9	9
RUN31	pp32	TOP23-PDS-gRNA4	112_rep2	TS_20nt-SL1-del7	5454	4590	864	0	0	778	153	0	711	86	0	0	67	0	0.130363036	Fig.3C	Fig.3C	-	9	9
RUN31	pp32	TOP23-PDS-gRNA4	112_rep3	TS_20nt-SL1-del7	5265	4185	1080	0	63	935	178	0	888	96	14	49	33	0	0.168660969	Fig.3C	Fig.3C	-	9	9
RUN31	pp32	TOP23-PDS-gRNA4	113_rep1	TS_20nt-SL1-del10	9167	6986	2181	0	0	2038	238	0	1943	143	0	0	95	0	0.211955929	Fig.3C	Fig.3C	-	10	10
RUN31	pp32	TOP23-PDS-gRNA4	113_rep2	TS_20nt-SL1-del10	6258	4403	1855	0	68	1692	428	0	1427	117	0	46	243	22	0.228028124	Fig.3C	Fig.3C	-	10	10
RUN31	pp32	TOP23-PDS-gRNA4	113_rep3	TS_20nt-SL1-del10	5565	4592	973	0	9	845	213	9	751	119	0	0	94	0	0.136567835	Fig.3C	Fig.3C	-	10	10
RUN40	pp55	TOP139_Lig4_rep1	pp55_lig4_TOP23_gRNA2	gRNA2	4566	4306	260	0	24	167	94	0	166	69	0	24	1	0	0.036355672	Fig.4A	Fig.4A	hu_codon	3	3
RUN40	pp55	TOP139_Lig4_rep2	pp55_lig4_TOP23_gRNA2	gRNA2	9745	8694	1051	0	63	823	322	3	726	175	0	50	87	10	0.074807594	Fig.4A	Fig.4A	hu_codon	3	3
RUN40	pp55	TOP139_Lig4_rep3	pp55_lig4_TOP23_gRNA2	gRNA2	9850	8916	934	0	71	686	301	18	615	180	0	50	68	3	0.064263959	Fig.4A	Fig.4A	hu_codon	3	3
RUN40	pp55	TOP141_Lig4_rep1	pp55_lig4_TOP23_gRNA5	gRNA3	8172	7959	213	0	0	3	211	0	2	210	0	0	1	0	0.000244738	Fig.4A	Fig.4A	hu_codon	4	4
RUN40	pp55	TOP141_Lig4_rep2	pp55_lig4_TOP23_gRNA5	gRNA3	8385	8173	212	0	0	0	212	0	0	212	0	0	0	0	0	Fig.4A	Fig.4A	hu_codon	4	4
RUN40	pp55	TOP141_Lig4_rep3	pp55_lig4_TOP23_gRNA5	gRNA3	8507	8279	228	0	0	0	228	0	0	228	0	0	0	0	0	Fig.4A	Fig.4A	hu_codon	4	4
RUN40	pp55	TOP143_Lig4_rep1	pp55_lig4_TOP23_gRNA5	gRNA4	5661	5462	199	0	0	1	199	0	0	198	0	0	1	0	0	Fig.4A	Fig.4A	hu_codon	5	5
RUN40	pp55	TOP143_Lig4_rep2	pp55_lig4_TOP23_gRNA5	gRNA4	8688	8207	481	0	0	187	295	0	186	294	0	0	1	0	0.02140884	Fig.4A	Fig.4A	hu_codon	5	5
RUN40	pp55	TOP143_Lig4_rep3	pp55_lig4_TOP23_gRNA5	gRNA4	3691	3574	117	0	0	22	95	0	22	95	0	0	0	0	0.005960444	Fig.4A	Fig.4A	hu_codon	5	5
RUN40	pp55	Aaus_FP_Lig4_15871_rep1	pp55_lig4_SpCas9	mock	3029	2919	110	0	0	0	110	0	0	110	0	0	0	0	0	Fig.4A	Fig.4A	-	1	1
RUN40	pp55	Aaus_FP_Lig4_15871_rep2	pp55_lig4_SpCas9	mock	5341	5145	196	0	0	0	196	0	0	196	0	0	0	0	0	Fig.4A	Fig.4A	-	1	1
RUN40	pp55	Aaus_FP_Lig4_15871_rep3	pp55_lig4_SpCas9	mock	7134	6902	232	0	1	1	230	1	1	230	0	0	0	0	0.000280348	Fig.4A	Fig.4A	-	1	1
RUN40	pp55	pEX_Cas9_AtPDS_Lig4_rep1	pp55_lig4_SpCas9	SpyCas9	9305	8654	651	0	7	301	373	5	273	343	0	2	28	0	0.029876411	Fig.4A	Fig.4A	-	2	2
RUN40	pp55	pEX_Cas9_AtPDS_Lig4_rep2	pp55_lig4_SpCas9	SpyCas9	8486	7948	538	0	0	242	296	0	242	296	0	0	0	0	0.028517558	Fig.4A	Fig.4A	-	2	2
RUN40	pp55	pEX_Cas9_AtPDS_Lig4_rep3	pp55_lig4_SpCas9	SpyCas9	10337	8970	1367	0	72	961	560	7	800	345	0	54	150	11	0.078069072	Fig.4A	Fig.4A	-	2	2
RUN62	HEK7	mock_rep1	Amp1_NC_1	mock	3174	3127	47	0	0	0	47	0	0	47	0	0	0	0	0	Sup_Fig.S5	Sup_Fig.S5	-	1	1
RUN62	HEK7	mock_rep2	Amp1_NC_2	mock	2646	2609	37	0	0	0	37	0	0	37	0	0	0	0	0	Sup_Fig.S5	Sup_Fig.S5	-	1	1
RUN62	HEK7	gRNA1_rep1	TOP266_1	gRNA1	2537	837	1700	0	305	1381	152	242	1306	19	0	58	70	5	0.610169492	Sup_Fig.S5	Sup_Fig.S5	-	2	2
RUN62	HEK7	gRNA1_rep2	TOP266_2	gRNA1	2970	1033	1937	0	326	1584	182	250	1505	31	0	72	75	4	0.590909091	Sup_Fig.S5	Sup_Fig.S5	-	2	2
RUN62	HEK7	gRNA2_rep1	TOP267_1	gRNA2	4086	0	4086	0	203	1125	3703	0	383	2761	0	200	739	3	0.093734704	Sup_Fig.S5	Sup_Fig.S5	-	3	3
RUN62	HEK7	gRNA2_rep2	TOP267_2	gRNA2	3106	0	3106	0	174	917	2764	0	342	2017	0	172	573	2	0.110109466	Sup_Fig.S5	Sup_Fig.S5	-	3	3
RUN62	HEK7	gRNA3_rep1	TOP268_1	gRNA3	6082	5841	241	0	19	109	129	14	98	113	0	5	11	0	0.018414995	Sup_Fig.S5	Sup_Fig.S5	-	4	4
RUN62	HEK7	gRNA3_rep2	TOP268_2	gRNA3	5624	5389	235	0	15	141	91	10	134	79	0	5	7	0	0.025604552	Sup_Fig.S5	Sup_Fig.S5	-	4	4
RUN62	HEK7	gRNA4_rep1	TOP269_1	gRNA4	4944	3864	1080	0	84	563	479	78	523	433	0	6	40	0	0.121561489	Sup_Fig.S5	Sup_Fig.S5	-	5	5
RUN62	HEK7	gRNA4_rep2	TOP269_2	gRNA4	5485	4354	1131	0	84	532	573	76	482	515	0	8	50	0	0.101731996	Sup_Fig.S5	Sup_Fig.S5	-	5	5
RUN62	HEK7	gRNA5_rep1	TOP270_1	gRNA5	4351	3607	744	0	99	467	232	82	430	183	0	12	32	5	0.117674098	Sup_Fig.S5	Sup_Fig.S5	-	6	6
RUN62	HEK7	gRNA5_rep2	TOP270_2	gRNA5	4184	3494	690	0	76	435	234	65	391	179	0	11	44	0	0.108986616	Sup_Fig.S5	Sup_Fig.S5	-	6	6
RUN62	HEK7	gRNA6_rep1	TOP271_1	gRNA6	2399	2340	59	0	0	5	54	0	5	54	0	0	0	0	0.002084202	Sup_Fig.S5	Sup_Fig.S5	-	7	7
RUN62	HEK7	gRNA6_rep2	TOP271_2	gRNA6	2496	2440	56	0	2	6	48	2	6	48	0	0	0	0	0.003205128	Sup_Fig.S5	Sup_Fig.S5	-	7	7
RUN62	HEK7	gRNA7_rep1	TOP272_1	gRNA7	2375	2199	176	0	8	67	107	6	63	101	0	2	4	0	0.029052632	Sup_Fig.S5	Sup_Fig.S5	-	8	8
